zillow_region_id,fhfa_cbsa,period,zhvi_usd
395089,43100,2017-03,162057.91399822108
395089,43100,2017-04,162520.4213694809
395089,43100,2017-05,163092.5500599659
395089,43100,2017-06,163865.03787048903
395089,43100,2017-07,164935.15480246686
395089,43100,2017-08,166206.82544058314
395089,43100,2017-09,167574.45400576896
395089,43100,2017-10,168821.47683300579
395089,43100,2017-11,170064.89679719292
395089,43100,2017-12,171179.7201807924
395089,43100,2018-01,172424.76693313927
395089,43100,2018-02,173721.8205930428
395089,43100,2018-03,175431.76067787013
395089,43100,2018-04,176884.05852256078
395089,43100,2018-05,178147.33564897088
395089,43100,2018-06,178753.2152790127
395089,43100,2018-07,179696.94568588038
395089,43100,2018-08,180465.67740857764
395089,43100,2018-09,181274.945010327
395089,43100,2018-10,181539.9896097319
395089,43100,2018-11,182166.84803258194
395089,43100,2018-12,183267.3262697202
395089,43100,2019-01,184639.2249661036
395089,43100,2019-02,185972.89715526605
395089,43100,2019-03,186865.84196256168
395089,43100,2019-04,187518.96996513402
395089,43100,2019-05,187956.09244201286
395089,43100,2019-06,188595.42027046593
395089,43100,2019-07,189198.10127474857
395089,43100,2019-08,189987.80739860595
395089,43100,2019-09,190723.07096651208
395089,43100,2019-10,191657.71327580768
395089,43100,2019-11,192657.01965407006
395089,43100,2019-12,193634.12688292458
395089,43100,2020-01,194833.23883246921
395089,43100,2020-02,196328.0181032863
395089,43100,2020-03,197860.30496859064
395089,43100,2020-04,199145.39661670686
395089,43100,2020-05,199720.6412984233
395089,43100,2020-06,199963.584982438
395089,43100,2020-07,200455.2586177025
395089,43100,2020-08,201888.02062294495
395089,43100,2020-09,204623.2234898334
395089,43100,2020-10,208117.80722276564
395089,43100,2020-11,211541.60434347866
395089,43100,2020-12,214381.56429793852
395089,43100,2021-01,216751.87580454795
395089,43100,2021-02,219080.27296935205
395089,43100,2021-03,221433.55762159277
395089,43100,2021-04,223801.8925446017
395089,43100,2021-05,226804.92060215725
395089,43100,2021-06,230376.56167356577
395089,43100,2021-07,233101.02767282398
395089,43100,2021-08,233971.6079338387
395089,43100,2021-09,233290.4140961472
395089,43100,2021-10,232574.54912010182
395089,43100,2021-11,232866.33950996996
395089,43100,2021-12,233938.35272528083
395089,43100,2022-01,236223.52528127082
395089,43100,2022-02,239228.09402458183
395089,43100,2022-03,242518.14376804055
395089,43100,2022-04,246087.1708466351
395089,43100,2022-05,249424.50121543577
395089,43100,2022-06,252333.85301251625
395089,43100,2022-07,253515.66209755893
395089,43100,2022-08,252983.20754456695
395089,43100,2022-09,251933.7758042325
395089,43100,2022-10,251247.0569935931
395089,43100,2022-11,251506.87130706536
395089,43100,2022-12,252417.7932542745
395089,43100,2023-01,254400.06439555864
395089,43100,2023-02,256492.89016092056
395089,43100,2023-03,259343.71330862664
395089,43100,2023-04,262968.2760913491
395089,43100,2023-05,266736.4529543558
395089,43100,2023-06,269582.20963592705
395089,43100,2023-07,271203.0399734271
395089,43100,2023-08,272940.8755228654
395089,43100,2023-09,274646.3141751963
395089,43100,2023-10,275922.36090348684
395089,43100,2023-11,276785.2492597129
395089,43100,2023-12,276991.96644910617
395089,43100,2024-01,277510.55917464953
395089,43100,2024-02,278932.20755504
395089,43100,2024-03,282092.2629529037
395089,43100,2024-04,286172.0756985103
395089,43100,2024-05,289232.0005955119
395089,43100,2024-06,291516.0630905426
395089,43100,2024-07,292526.2433010703
395089,43100,2024-08,293447.99936005706
395089,43100,2024-09,294232.4960309874
395089,43100,2024-10,295821.1693889823
395089,43100,2024-11,297956.74358396156
395089,43100,2024-12,300402.5622939486
395089,43100,2025-01,302604.77960482443
395089,43100,2025-02,304773.19411760947
395089,43100,2025-03,306184.9010406599
395089,43100,2025-04,307061.40414117044
395089,43100,2025-05,307908.44013316656
395089,43100,2025-06,309290.70499929873
395089,43100,2025-07,311220.35372140136
395089,43100,2025-08,313591.4489250848
395089,43100,2025-09,315994.6558916447
395089,43100,2025-10,318242.23031739844
395089,43100,2025-11,319997.4720324538
395089,43100,2025-12,321773.5385316456
395089,43100,2026-01,323372.0348619159
395089,43100,2026-02,325172.4191559543
395089,43100,2026-03,326594.3916419858
395089,43100,2026-04,327199.31936671975
395089,43100,2026-05,327255.50432311755
395089,43100,2026-06,327414.22785351734
395094,43300,2012-01,113057.13268891258
395094,43300,2012-02,113356.61063965665
395094,43300,2012-03,113767.92889314091
395094,43300,2012-04,114228.060461262
395094,43300,2012-05,114853.04227233805
395094,43300,2012-06,115313.54522855421
395094,43300,2012-07,115864.97827945184
395094,43300,2012-08,115549.07826834229
395094,43300,2012-09,115156.2550005961
395094,43300,2012-10,114687.18307565071
395094,43300,2012-11,114929.7937723476
395094,43300,2012-12,115396.07433323753
395094,43300,2013-01,116338.42973550456
395094,43300,2013-02,117216.20474890903
395094,43300,2013-03,118238.76984964595
395094,43300,2013-04,119136.9707155107
395094,43300,2013-05,120461.10310206447
395094,43300,2013-06,121680.89828528243
395094,43300,2013-07,122688.14717442279
395094,43300,2013-08,122634.78733891361
395094,43300,2013-09,122082.18518360941
395094,43300,2013-10,121330.05171239802
395094,43300,2013-11,121282.35401979166
395094,43300,2013-12,121782.23722206756
395094,43300,2014-01,122906.06072074287
395094,43300,2014-02,124194.52640137346
395094,43300,2014-03,125410.51316021441
395094,43300,2014-04,126324.04021315137
395094,43300,2014-05,127394.48354180808
395094,43300,2014-06,128236.76288182841
395094,43300,2014-07,129204.00237662335
395094,43300,2014-08,129206.09256626549
395094,43300,2014-09,128860.48261807613
395094,43300,2014-10,128199.04809426358
395094,43300,2014-11,128329.51216320174
395094,43300,2014-12,129077.85936827004
395094,43300,2015-01,130081.15244156569
395094,43300,2015-02,131243.9814527405
395094,43300,2015-03,132596.31369995626
395094,43300,2015-04,134029.1397072461
395094,43300,2015-05,135755.13629733777
395094,43300,2015-06,137521.0054720571
395094,43300,2015-07,139371.7787568388
395094,43300,2015-08,140572.64128782446
395094,43300,2015-09,141511.9922421713
395094,43300,2015-10,142407.4565109129
395094,43300,2015-11,143541.70450717246
395094,43300,2015-12,144959.62282980714
395094,43300,2016-01,146130.29287640445
395094,43300,2016-02,146882.42670823573
395094,43300,2016-03,147292.79546310988
395094,43300,2016-04,147853.58719309434
395094,43300,2016-05,149098.86443898547
395094,43300,2016-06,150472.42542497013
395094,43300,2016-07,152191.93523653774
395094,43300,2016-08,153700.68144577814
395094,43300,2016-09,155363.61673059055
395094,43300,2016-10,156855.75211358594
395094,43300,2016-11,158556.29416642792
395094,43300,2016-12,160272.5718460514
395094,43300,2017-01,161891.19275250367
395094,43300,2017-02,163070.7596537137
395094,43300,2017-03,164238.0499943814
395094,43300,2017-04,165511.29947497702
395094,43300,2017-05,167138.1549535209
395094,43300,2017-06,168648.846914657
395094,43300,2017-07,170311.10981247044
395094,43300,2017-08,171844.78442028307
395094,43300,2017-09,173534.3171719911
395094,43300,2017-10,175273.61348021482
395094,43300,2017-11,177250.82295842937
395094,43300,2017-12,179347.13544365892
395094,43300,2018-01,181199.51844132357
395094,43300,2018-02,182793.8152036219
395094,43300,2018-03,184758.518031196
395094,43300,2018-04,186918.1987614995
395094,43300,2018-05,189236.1493231693
395094,43300,2018-06,190913.02062319103
395094,43300,2018-07,192568.50746173397
395094,43300,2018-08,193525.6497216019
395094,43300,2018-09,194378.85647156465
395094,43300,2018-10,194555.8391370497
395094,43300,2018-11,195193.19160102858
395094,43300,2018-12,195940.45057498905
395094,43300,2019-01,197116.62253344498
395094,43300,2019-02,198347.8357043369
395094,43300,2019-03,199514.9917222509
395094,43300,2019-04,200331.4294080391
395094,43300,2019-05,200712.17626602904
395094,43300,2019-06,200783.67490576697
395094,43300,2019-07,200749.11543620544
395094,43300,2019-08,200959.85447373855
395094,43300,2019-09,201500.1113519169
395094,43300,2019-10,202561.47846257896
395094,43300,2019-11,203940.8882891567
395094,43300,2019-12,205335.82663051307
395094,43300,2020-01,206743.80353158328
395094,43300,2020-02,208270.08791822448
395094,43300,2020-03,209996.976548944
395094,43300,2020-04,211281.01579921343
395094,43300,2020-05,211586.21359727587
395094,43300,2020-06,211338.36331654456
395094,43300,2020-07,211660.56738280645
395094,43300,2020-08,213293.56512840115
395094,43300,2020-09,216088.02144305102
395094,43300,2020-10,219043.50985493776
395094,43300,2020-11,221805.72166523198
395094,43300,2020-12,224280.45951533565
395094,43300,2021-01,227471.17942963075
395094,43300,2021-02,231581.2604139948
395094,43300,2021-03,236368.97345150865
395094,43300,2021-04,241008.32137444222
395094,43300,2021-05,245532.89910110398
395094,43300,2021-06,250240.65154348107
395094,43300,2021-07,254793.21101033525
395094,43300,2021-08,258647.13180305043
395094,43300,2021-09,261082.21014399081
395094,43300,2021-10,263248.3102918378
395094,43300,2021-11,265902.0549801883
395094,43300,2021-12,269516.16465954296
395094,43300,2022-01,274765.2247427905
395094,43300,2022-02,281070.5231861779
395094,43300,2022-03,287775.910327552
395094,43300,2022-04,293789.7703533216
395094,43300,2022-05,298835.07790706883
395094,43300,2022-06,303437.443311757
395094,43300,2022-07,306127.0325284945
395094,43300,2022-08,306530.9379268025
395094,43300,2022-09,304914.5711022428
395094,43300,2022-10,303235.8457047126
395094,43300,2022-11,302462.9790399728
395094,43300,2022-12,302580.10660583456
395094,43300,2023-01,303167.2223653276
395094,43300,2023-02,303518.9910909847
395094,43300,2023-03,303774.47406917147
395094,43300,2023-04,304289.6078697138
395094,43300,2023-05,304932.06852066284
395094,43300,2023-06,305390.7640355784
395094,43300,2023-07,305066.2265140286
395094,43300,2023-08,304944.90940089716
395094,43300,2023-09,304947.88566384703
395094,43300,2023-10,304986.3433859719
395094,43300,2023-11,304359.60377725493
395094,43300,2023-12,303302.47277800826
395094,43300,2024-01,303307.0742910215
395094,43300,2024-02,305002.6758012819
395094,43300,2024-03,307791.0611053366
395094,43300,2024-04,310079.8314875474
395094,43300,2024-05,311046.50357202167
395094,43300,2024-06,311331.2866160183
395094,43300,2024-07,310648.97750139626
395094,43300,2024-08,309786.76118731644
395094,43300,2024-09,308561.98644840857
395094,43300,2024-10,307710.22780920705
395094,43300,2024-11,307250.16047310695
395094,43300,2024-12,307652.17176827416
395094,43300,2025-01,308909.5106840842
395094,43300,2025-02,310250.0925557357
395094,43300,2025-03,310607.1489416118
395094,43300,2025-04,309501.56390305824
395094,43300,2025-05,307294.05218488694
395094,43300,2025-06,304723.150914662
395094,43300,2025-07,302103.93752549356
