fhfa_cbsa,period,hpi_all_transactions_nsa
10500,1985Q4,83.33
10500,1986Q1,84.63
10500,1986Q2,84.77
10500,1986Q3,89.2
10500,1986Q4,86.97
10500,1987Q1,87.53
10500,1987Q2,88.03
10500,1987Q3,86.94
10500,1987Q4,85.31
10500,1988Q1,90.15
10500,1988Q2,89.03
10500,1988Q3,87.63
10500,1988Q4,88.58
10500,1989Q1,83.21
10500,1989Q2,88.61
10500,1989Q3,86.95
10500,1989Q4,90.23
10500,1990Q1,86.82
10500,1990Q2,90.85
10500,1990Q3,94.17
10500,1990Q4,90.24
10500,1991Q1,91.52
10500,1991Q2,90.8
10500,1991Q3,93.54
10500,1991Q4,90.67
10500,1992Q1,92.57
10500,1992Q2,93.5
10500,1992Q3,94.33
10500,1992Q4,94.92
10500,1993Q1,96.2
10500,1993Q2,96.57
10500,1993Q3,97.61
10500,1993Q4,97.23
10500,1994Q1,97.29
10500,1994Q2,97.71
10500,1994Q3,101.49
10500,1994Q4,99.76
10500,1995Q1,100
10500,1995Q2,101.96
10500,1995Q3,102.6
10500,1995Q4,104.36
10500,1996Q1,104.7
10500,1996Q2,107.14
10500,1996Q3,109.02
10500,1996Q4,108.38
10500,1997Q1,109.49
10500,1997Q2,110.12
10500,1997Q3,111.1
10500,1997Q4,114.84
10500,1998Q1,114.22
10500,1998Q2,114.58
10500,1998Q3,116.95
10500,1998Q4,116.21
10500,1999Q1,118.19
10500,1999Q2,117.48
10500,1999Q3,118.84
10500,1999Q4,120.73
10500,2000Q1,122.26
10500,2000Q2,121.4
10500,2000Q3,122.92
10500,2000Q4,122.73
10500,2001Q1,126.06
10500,2001Q2,127.05
10500,2001Q3,127.85
10500,2001Q4,127.77
10500,2002Q1,128.23
10500,2002Q2,130.27
10500,2002Q3,131.67
10500,2002Q4,133.36
10500,2003Q1,132.9
10500,2003Q2,135.89
10500,2003Q3,135.76
10500,2003Q4,139.63
10500,2004Q1,139.27
10500,2004Q2,140.1
10500,2004Q3,141.43
