zillow_region_id,fhfa_cbsa,period,zori_usd_month
394304,10420,2023-09,1118.7027905154848
394304,10420,2023-10,1117.3337230825412
394304,10420,2023-11,1117.7538209277195
394304,10420,2023-12,1120.8189837367565
394304,10420,2024-01,1131.8628254040086
394304,10420,2024-02,1139.1408545041043
394304,10420,2024-03,1139.388907293183
394304,10420,2024-04,1137.611531486191
394304,10420,2024-05,1143.6272968038156
394304,10420,2024-06,1159.9901207881055
394304,10420,2024-07,1171.3654494168552
394304,10420,2024-08,1180.6859750443557
394304,10420,2024-09,1182.0631538403761
394304,10420,2024-10,1184.3298882317333
394304,10420,2024-11,1181.579115413736
394304,10420,2024-12,1178.5832437567083
394304,10420,2025-01,1183.8494020512935
394304,10420,2025-02,1191.3951097363288
394304,10420,2025-03,1194.509672730745
394304,10420,2025-04,1193.173818015762
394304,10420,2025-05,1194.2531704213118
394304,10420,2025-06,1204.0878040568398
394304,10420,2025-07,1214.2146430841499
394304,10420,2025-08,1225.775642161435
394304,10420,2025-09,1239.710309772858
394304,10420,2025-10,1236.5167009612803
394304,10420,2025-11,1224.9772075604915
394304,10420,2025-12,1222.5380045958495
394304,10420,2026-01,1229.786868234605
394304,10420,2026-02,1243.7660691640174
394304,10420,2026-03,1248.1792762763312
394304,10420,2026-04,1254.5919200675605
394304,10420,2026-05,1260.3115955356932
394304,10420,2026-06,1268.4400027645308
394306,10500,2017-01,634.6856001977748
394306,10500,2017-02,632.3504380922886
394306,10500,2017-03,630.607136471906
394306,10500,2017-04,634.7506653165495
394306,10500,2017-05,635.449488479255
394306,10500,2017-06,636.8222717505794
394306,10500,2017-07,635.1173394045187
394306,10500,2017-08,634.7161262924408
394306,10500,2017-09,630.3452758102744
394306,10500,2017-10,626.9072713258137
394306,10500,2017-11,627.9061826988418
394306,10500,2017-12,638.3469852251309
394306,10500,2018-01,644.7949417160441
394306,10500,2018-02,646.859653090547
394306,10500,2018-03,643.1036851453155
394306,10500,2018-04,641.0116450026326
394306,10500,2018-05,641.7780307685316
394306,10500,2018-06,643.8092719383483
394306,10500,2018-07,649.3346228891401
394306,10500,2018-08,651.2474458175669
394306,10500,2018-09,656.6897820205703
394306,10500,2018-10,662.2446017997037
394306,10500,2018-11,665.367963021195
394306,10500,2018-12,663.4641319272522
394306,10500,2019-01,666.466473736709
394306,10500,2019-02,672.6175011705989
394306,10500,2019-03,677.3143899806896
394306,10500,2019-04,676.4203444371923
394306,10500,2019-05,677.845609176382
394306,10500,2019-06,676.7553699625772
394306,10500,2019-07,680.9985646849714
394306,10500,2019-08,680.5297357077526
394306,10500,2019-09,690.1443564842333
394306,10500,2019-10,693.1169493542004
394306,10500,2019-11,701.5437701669007
394306,10500,2019-12,702.8647474703057
394306,10500,2020-01,705.9819411397553
394306,10500,2020-02,708.0355681103459
394306,10500,2020-03,713.3815172046312
394306,10500,2020-04,718.8729770537661
394306,10500,2020-05,727.2630124960372
394306,10500,2020-06,731.9281600249104
394306,10500,2020-07,735.1033990353787
394306,10500,2020-08,746.5826868001864
394306,10500,2020-09,758.3212844914096
394306,10500,2020-10,768.7019875326661
394306,10500,2020-11,758.9356767977686
394306,10500,2020-12,752.2364306376123
394306,10500,2021-01,755.2109997730012
394306,10500,2021-02,766.2682098280267
394306,10500,2021-03,783.8402967343095
394306,10500,2021-04,796.1166389679728
394306,10500,2021-05,814.1254919278254
394306,10500,2021-06,825.6443793295182
394306,10500,2021-07,837.0294818093638
394306,10500,2021-08,849.629529946175
394306,10500,2021-09,840.7299718514455
394306,10500,2021-10,856.1795487920067
394306,10500,2021-11,857.8881842671154
394306,10500,2021-12,884.5483092483239
394306,10500,2022-01,881.1527877808675
394306,10500,2022-02,890.4027209685858
394306,10500,2022-03,891.4423168984744
394306,10500,2022-04,907.7948119628261
394306,10500,2022-05,919.4452544866746
394306,10500,2022-06,932.7706739556716
394306,10500,2022-07,932.3442250367691
394306,10500,2022-08,937.9274173167615
394306,10500,2022-09,942.2125051817601
394306,10500,2022-10,948.1198992896902
394306,10500,2022-11,941.2339263142624
394306,10500,2022-12,931.8384672009521
394306,10500,2023-01,929.4131047226233
394306,10500,2023-02,929.0603269721705
394306,10500,2023-03,942.1132182654852
394306,10500,2023-04,954.2334555312281
394306,10500,2023-05,960.8330892583865
394306,10500,2023-06,967.7439140683866
394306,10500,2023-07,958.9085135869013
394306,10500,2023-08,970.606556054943
394306,10500,2023-09,971.308830743909
394306,10500,2023-10,984.996328968656
394306,10500,2023-11,992.7920848806286
394306,10500,2023-12,997.9690436878169
394306,10500,2024-01,1004.3800645190257
394306,10500,2024-02,992.9179222883345
394306,10500,2024-03,996.8014693640174
394306,10500,2024-04,1000.9261751966155
394306,10500,2024-05,1016.3031249881775
394306,10500,2024-06,1017.9954475741065
394306,10500,2024-07,1017.4657068114419
394306,10500,2024-08,1028.4699780853575
394306,10500,2024-09,1030.7485557477864
394306,10500,2024-10,1030.1940863392742
394306,10500,2024-11,1013.1664560784703
394306,10500,2024-12,1012.3453766457561
394306,10500,2025-01,1010.4053368705773
394306,10500,2025-02,1013.9135182979022
394306,10500,2025-03,1015.0879413656536
394306,10500,2025-04,1034.7823597169959
394306,10500,2025-05,1044.7902846698607
394306,10500,2025-06,1056.864625674172
394306,10500,2025-07,1055.2500128782372
394306,10500,2025-08,1055.388726123688
394306,10500,2025-09,1046.6147201791084
394306,10500,2025-10,1043.1083634799857
394306,10500,2025-11,1054.8715028609308
394306,10500,2025-12,1073.129206873457
394306,10500,2026-01,1080.8665929378562
394306,10500,2026-02,1083.8711487865887
394306,10500,2026-03,1086.3889399122909
394306,10500,2026-04,1083.3970169637153
394306,10500,2026-05,1071.1267141788276
394306,10500,2026-06,1060.7240896358544
394307,10540,2021-02,1183.6304713625088
394307,10540,2021-03,1190.863378168443
394307,10540,2021-05,1214.9702359744315
394307,10540,2021-06,1222.4125103784888
394307,10540,2021-07,1259.3472735499608
394307,10540,2021-08,1272.2201398736063
394307,10540,2021-09,1303.6437820105537
394307,10540,2021-10,1295.1717881618865
394307,10540,2021-11,1328.8951758563828
394307,10540,2021-12,1324.4447894862517
394307,10540,2022-01,1355.976469162219
394307,10540,2022-02,1357.2935331047697
394307,10540,2022-03,1394.6792041828842
394307,10540,2022-04,1409.1370672131718
394307,10540,2022-05,1400.84741316334
394307,10540,2022-06,1417.9956126374416
394307,10540,2022-07,1438.0765460028244
394307,10540,2022-08,1474.1722750904883
394307,10540,2022-09,1488.0098287547987
394307,10540,2022-10,1505.8722512340855
394307,10540,2022-11,1511.9439725778868
394307,10540,2022-12,1497.3603204365807
394307,10540,2023-01,1490.8954450746419
394307,10540,2023-02,1509.9258565763562
394307,10540,2023-03,1515.9922285521643
394307,10540,2023-04,1522.956504032661
394307,10540,2023-05,1522.3253975132998
394307,10540,2023-06,1523.50823706207
394307,10540,2023-07,1522.4666150277915
394307,10540,2023-08,1529.0920842447338
394307,10540,2023-09,1542.7247661971576
394307,10540,2023-10,1553.6295918369738
394307,10540,2023-11,1545.7166147089238
394307,10540,2023-12,1544.5472494915534
394307,10540,2024-01,1541.794495206228
394307,10540,2024-02,1549.3116333550452
394307,10540,2024-03,1553.3110896304047
394307,10540,2024-04,1559.9500563441438
394307,10540,2024-05,1563.489920568739
