date,price,dividend,earnings,cpi,gs10,realPrice,realDividend,realTotalReturnPrice,realEarnings,cape
1996-12,743.25,14.9,38.73,158.6,6.3,1577.8843683007565,31.631990699873896,641111.6826476301,82.22194629571247,27.723946163893967
1997-01,766.22,14.9533,39.2333,159.1,6.58,1621.5365528284099,31.645379310653677,659919.5314787102,83.02867327671275,28.33287012995038
1997-02,798.39,15.0067,39.7367,159.6,6.42,1684.324013768797,31.65889499796366,686545.9424965337,83.83055654244987,29.265634883575963
1997-03,792.16,15.06,40.24,160,6.69,1667.00293775,31.691911031249997,680562.2056181473,84.68011287499999,28.802458591871666
1997-04,763.93,15.0933,40.3433,160.2,6.89,1605.5894006398253,31.72233385346442,656569.0582515678,84.79150559191636,27.58516033813655
1997-05,833.09,15.1267,40.4467,160.1,6.71,1752.0400454247347,31.812390204091194,717540.7785499439,85.0619238080887,29.928362224688787
1997-06,876.29,15.16,40.55,160.3,6.49,1840.5930260293196,31.8426437305053,754894.0386906711,85.17277066437927,31.256560616381275
1997-07,925.29,15.2167,40.58,160.5,6.22,1941.0926749065418,31.921910867133953,797203.6221119193,85.12957099688472,32.766637689669935
1997-08,927.24,15.2733,40.61,160.8,6.3,1941.5543520522388,31.980870201026118,798487.7731411646,85.0335643812189,32.58628348671318
1997-09,937.02,15.33,40.64,161.2,6.21,1957.164195130273,32.0199431296526,806004.8929066645,84.88522431761787,32.66658134170863
1997-10,951.16,15.3867,40.3333,161.6,6.03,1981.7810011757424,32.05882262793936,817242.8684940072,84.03609030522897,32.90149817979812
1997-11,938.92,15.4433,40.0267,161.5,5.88,1957.4897754179565,32.19667474195046,808332.1349474926,83.44891576888544,32.33660053281268
1997-12,962.37,15.5,39.72,161.3,5.81,2008.866829463732,32.35495272783633,830661.3377191155,82.91217563546186,33.03078904290543
1998-01,963.36,15.55,39.66,161.6,5.54,2007.2002032178216,32.39906489789605,831088.6029230189,82.63324204826732,32.859968415052236
1998-02,1023.74,15.6,39.6,161.9,5.57,2129.0519699505867,32.443013588634955,882661.2027305433,82.3553421865349,34.709677782269985
1998-03,1076.83,15.64,39.54,162.2,5.65,2235.3201615752155,32.46604136868064,927839.4577078008,82.07847031442664,36.29692773642509
1998-04,1112.2,15.75,39.35,162.5,5.64,2304.480111076923,32.63402423076923,957675.2693583894,81.53326053846153,37.27693404302877
1998-05,1108.42,15.85,39.16,162.8,5.65,2292.4157930282554,32.780706157862404,953796.9138771255,80.99006013513512,36.95659851896901
1998-06,1108.39,15.95,38.97,163,5.5,2289.541043542945,32.94704900306748,953743.1738956643,80.49821314417177,36.802293460092024
1998-07,1156.58,16.0167,38.6767,163.2,5.46,2386.156710447304,33.04428243979779,995136.992234553,79.79445195572916,38.25964508524856
1998-08,1074.62,16.0833,38.3833,163.4,5.34,2214.350199847001,33.14107179207466,924637.5619470589,79.09220750198897,35.42340102487833
1998-09,1020.64,16.14,38.09,163.6,4.81,2100.548552322738,33.217249602689485,878273.719018231,78.39188583435208,33.53235698083489
1998-10,1032.47,16.1667,37.9633,164,4.53,2119.7128482774388,33.19104836387195,887443.1014237256,77.94056463917683,33.77310287904813
1998-11,1144.43,16.1833,37.8367,164,4.83,2349.572360411585,33.225128998932924,984835.7063394516,77.68064847057927,37.36939188392094
1998-12,1190.05,16.2,37.71,163.9,4.65,2444.7232001982916,33.27970744356315,1025881.1322294148,77.46776343807198,38.82027478009815
1999-01,1248.77,16.28333333,37.93333333,164.3,4.72,2559.106337142422,33.369460761073235,1075046.7229905291,77.73684002157232,40.576957677208114
1999-02,1246.58,16.36666667,38.15666667,164.5,5,2551.512447689969,33.49945750428977,1073029.3537258424,78.0994480665998,40.40015922925994
1999-03,1281.66,16.45,38.38,165,5.23,2615.3651055454543,33.567994621212115,1101058.7668509688,78.31851875757576,41.35610363271299
1999-04,1334.76,16.45,39.26,166.2,5.18,2704.055509566787,33.3256264290012,1139566.2532810937,79.5358111612515,42.704509516892145
1999-05,1332.07,16.45,40.14,166.2,5.54,2698.605908649218,33.3256264290012,1138440.0000102534,81.31858023465705,42.55667670951803
1999-06,1322.55,16.45,41.02,166.2,5.9,2679.319588673285,33.3256264290012,1131475.3980748567,83.10134930806258,42.18067591174691
1999-07,1380.99,16.513333333333335,42,166.7,5.79,2789.320205443911,33.353590051989606,1179102.3737456908,84.83149670065987,43.828035992805404
1999-08,1327.49,16.576666666666668,42.98,167.1,5.94,2674.842698219629,33.40136332036705,1131887.0230830135,86.60309242968282,41.93071215994044
1999-09,1318.17,16.64,43.96,167.9,5.92,2643.4077935824894,33.369220726622984,1119761.7325031303,88.15570571768909,41.32345133471501
1999-10,1300.01,16.656666666666666,45.36333333333334,168.2,6.11,2602.3406183263974,33.34306677070947,1103542.4817692807,90.8076437227507,40.55285439953987
1999-11,1391,16.673333333333332,46.76666666666667,168.3,6.03,2782.828566547831,33.356598346207164,1181258.5394453336,93.56119048326401,43.2082907146139
1999-12,1428.68,16.69,48.17,168.3,6.28,2858.211011111111,33.38994160724896,1214438.090500866,96.36869306298277,44.19793976104055
2000-01,1425.59,16.713333333333335,49.09666666666667,168.8,6.66,2843.5812168098337,33.33758004541864,1209402.384432039,97.93163472057662,43.77257814693799
2000-02,1388.87,16.736666666666668,50.02333333333333,169.8,6.52,2754.0216502797402,33.18751384471928,1172488.0885347011,99.19239599038083,42.185635887917314
2000-03,1442.21,16.76,50.95,171.2,6.26,2836.4046001898364,32.96201045560748,1208730.9618773682,100.20372510221962,43.22074843996586
2000-04,1461.36,16.740000000000002,51.27333333333333,171.3,5.99,2872.389243082311,32.90345700525394,1225234.2624347087,100.78075978789647,43.52857428850773
2000-05,1418.48,16.72,51.59666666666667,171.5,6.44,2784.854639183673,32.825820291545185,1189062.707301872,101.2980207920311,41.9660505033243
2000-06,1461.96,16.7,51.92,172.4,6.1,2855.233744141531,32.61539544663572,1220273.3063722337,101.40067853828306,42.78197156707145
2000-07,1473,16.583333333333332,52.51333333333334,172.8,6.05,2870.1358116319443,32.31257221739968,1227792.985858063,102.3220628568673,42.758093618269584
2000-08,1485.46,16.46666666666667,53.10666666666666,172.8,5.83,2894.4140819733793,32.08524758873457,1239322.5889967422,103.47817096836418,42.86956549441949
2000-09,1468.05,16.35,53.7,173.7,5.8,2845.669556778929,31.692856001727122,1219582.1336981975,104.09213255613126,41.89800792488473
2000-10,1390.14,16.323333333333334,52.46666666666667,174,5.74,2690.0027904310346,31.586611575670496,1153995.389443683,101.52609070881226,39.36969904420136
2000-11,1378.04,16.296666666666667,51.23333333333333,174.1,5.72,2665.0569357265936,31.51689684568256,1144420.4779966932,99.08257404748228,38.782142456784776
2000-12,1330.93,16.27,50,174,5.24,2575.427952485632,31.483408433908043,1107058.9038163812,96.75294540229885,37.2742380044972
2001-01,1335.63,16.169999999999998,48.48,175.1,5.16,2568.2864357938324,31.093335479725866,1105102.8922683976,93.2223193603655,36.97886799702982
2001-02,1305.75,16.07,46.96,175.8,5.1,2500.8324882679176,30.778003512514218,1077181.8837515586,89.93995301478952,35.83466265143128
2001-03,1185.85,15.97,45.44,176.2,4.89,2266.038544055051,30.517043090238367,977144.6293049771,86.83121089670828,32.32583723617875
2001-04,1189.84,15.876666666666665,42.556666666666665,176.9,5.14,2264.666056868287,30.218641242698318,977638.6839048871,80.99966255417372,32.17390116836069
2001-05,1270.37,15.783333333333331,39.67333333333333,177.7,5.39,2407.056255444569,29.905752837178763,1040183.2627452163,75.17175718439317,34.074643217140036
2001-06,1238.71,15.69,36.79,178,5.28,2343.1121723455058,29.678802935393254,1013619.3016105469,69.59102358146066,33.06853441111278
2001-07,1204.45,15.706666666666667,33.96333333333333,177.5,5.24,2284.7245978169017,29.794020244131456,989435.1743263812,64.4251426713615,32.16303868744436
2001-08,1178.5,15.723333333333333,31.136666666666667,177.5,4.97,2235.49996971831,29.82563529107981,969194.0619080174,59.06323070892019,31.404318760780146
2001-09,1044.64,15.74,28.31,178.3,4.73,1972.6895634324171,29.723286231071228,856327.2971776417,53.4603705973079,27.6673925868625
2001-10,1076.59,15.740000000000002,27.103333333333335,177.7,4.57,2039.8881381401236,29.823646229600453,886576.459788134,51.35452509379103,28.5773731133601
2001-11,1129.68,15.740000000000002,25.896666666666665,177.4,4.65,2144.1011184892895,29.874080806087935,932951.5092233903,49.15115073750469,30.005103811056824
2001-12,1144.93,15.74,24.69,176.7,5.09,2181.6537477787215,29.992427475947938,950379.1258075945,47.04657143463497,30.499953255020465
2002-01,1140.21,15.736666666666668,24.69333333333333,177.1,5.04,2167.752637224732,29.918348960097877,945409.5727275505,46.946648823640125,30.277204433096
2002-02,1100.67,15.733333333333334,24.69666666666667,177.8,4.91,2084.3411932930258,29.794247844019495,910114.6491614471,46.76813183820772,29.085704152008432
2002-03,1153.79,15.73,24.7,178.8,5.28,2172.7146613394852,29.62133631152125,949780.2067043886,46.51284214205816,30.292130640918685
2002-04,1111.93,15.833333333333332,25.38,179.8,5.21,2082.241985442158,29.65009617167222,911311.096104546,47.527543631813124,29.005883253118693
2002-05,1079.25,15.936666666666667,26.06,179.8,5.16,2021.0441869438262,29.843602062476826,885615.79616959,48.800937235817564,28.128107508688338
2002-06,1014.02,16.04,26.74,179.9,4.93,1897.8365064202333,30.02041139521956,832722.780324894,50.04649630350194,26.387672541183356
2002-07,903.59,15.96,27.84,180.1,4.65,1689.278061618545,29.837512437534706,742303.5919093455,52.04739011660189,23.46312046743144
2002-08,912.55,15.879999999999999,28.939999999999998,180.7,4.26,1700.3642121610403,29.58937448810182,748258.5899903458,53.92421270060874,23.58871352884238
